HOUSE_SRN,HOUSE_NAME,CITY,AREA,LOCATION,DEVELOPER,PPTY_MGMT_COMP,NEW_OPEN_DATE,OWNERSHIP_PERIOD,PARK,DECORATE,PPTY_MGMT_TYPE,HOUSE_STATUS
53320,愉园新村,深圳,龙岗,龙岗区中心城吉福路,,深圳市龙岗区龙城物业管理公司,,70年,100,,普通住宅,售罄
53321,深发花园,深圳,罗湖,罗湖区深南东路1015号,,,,70年,停车场面积1500平方米，共计有停车位45个,,普通住宅,售罄
53322,华民大厦,深圳,罗湖,罗湖区人民南路,,深业集团(深圳)物业管理有限公司,,70年,100,,普通住宅,售罄
53323,福星花园,深圳,福田,福田区福星路9-11号,,深业集团(深圳)物业管理有限公司,,70年,地下停车位,,普通住宅,售罄
53324,笔架山庄,深圳,福田,福田区横岗南,,深业集团(深圳)物业管理有限公司,,70年,154停车位,,普通住宅,售罄
53325,愉康花园,深圳,南山,南山区学府路与南山大道交界,,深圳市泛海物业管理服务有限公司,,70年,200,,普通住宅,售罄
53326,愉康大厦,深圳,南山,南山区学府路14号,,深圳市泛海物业管理服务有限公司,,70年,室内100位 室外100位；车位费：室内300元/月 室外100元/月,,普通住宅,售罄
53327,海晖大厦,深圳,南山,南山区南油大道1078号海晖大厦,,深圳市南油物业管理有限公司,,50年,233,,普通住宅,售罄
53328,康乐园,深圳,南山,南山区南光路66号,,深圳市南油物业管理有限公司,,70年,80停车位,,普通住宅,售罄
53329,南山花园,深圳,南山,南山区荔湾路137号,,深圳市南油物业管理有限公司,,,0,,别墅,售罄
53330,光大村,深圳,南山,南山区南山大道与学府路交汇处,,小区物业,,70年,地面停车场，地面200元/月，地下250元/月,,普通住宅,售罄
53331,荔馨村,深圳,南山,南山区学府路,,深圳市南油物业管理有限公司,,70年,车位充足，250元/月,,普通住宅,售罄
53332,荔芳综合楼,深圳,南山,南山区学府路,,,,70年,路边停车位,,普通住宅,售罄
53333,丰泽园,深圳,南山,南山区荔湾路105号,,深圳市光彩物业管理有限公司,,70年,200,,普通住宅,售罄
53334,田园居,深圳,宝安,罗湖区银湖路22号,,深圳中旅联合物业管理有限公司,,70年,独栋有私家车位,,普通住宅,售罄
53335,木棉岭小区,深圳,罗湖,罗湖区草埔村,,深圳市罗湖区草埔村管理处,,70年,0,,普通住宅,售罄
53336,东景花园,深圳,福田,福田区新闻路与商报东路交界处,,深圳市东部物业管理有限公司,,70年,室内250.00元/月 室外200.00元/月,,普通住宅,售罄
53337,竹园小区,深圳,福田,福田区车公庙旁深南大道与农林路交界西北,,,,70年,49,,普通住宅,售罄
53338,龙联花园,深圳,南山,南山区龙珠大道与龙珠二路交汇处,,深圳市东部物业管理有限公司,,70年,地面车位350个，月租120元/月,,普通住宅,售罄
53339,伟柏花园,深圳,福田,福田区彩田南路海滨广场,,美佳物业管理有限公司,,70年,300,,普通住宅,售罄
53340,银泰苑,深圳,福田,福田区福强路1053号,,深圳市佳美佳物业管理有限公司,,70年,室内70位 室外40位；车位费：室内250元/月 室外150元/月,,普通住宅,售罄
53341,中信海滨花园,深圳,盐田,沙头角沙深路37号,,深圳市中信物业管理有限公司,,70年,128,,普通住宅,售罄
53342,景贝村,深圳,罗湖,罗湖区怡景路,,,,70年,0,,普通住宅,售罄
53343,布心村,深圳,罗湖,罗湖区东晓路,,,,,地面停车场,,普通住宅,售罄
53344,景鹏大厦,深圳,福田,福田区莲花路与新洲路交口,,深圳市创建业物业管理有限公司,,70年,1500,,普通住宅,售罄
53345,景龙大厦,深圳,福田,福田福田区新洲路与莲花路交口,,深圳市大众物业管理有限公司,,70年,室内456位 室外122位；车位费：室内￥250.00/月 室外￥110.00/月,,普通住宅,售罄
53346,信苑花园,深圳,福田,福田区梅岗路,,,,70年,150,,普通住宅,售罄
53347,华富村,深圳,福田,福田华富路,,深圳市大众物业管理有限公司,,70年,0,,普通住宅,售罄
53348,华新村,深圳,福田,福田区红荔路,,深圳市宝晨物业管理有限公司,,70年,室内500位，室外400位，月卡110元,,普通住宅,售罄
53349,棕榈泉别墅,深圳,罗湖,罗湖区银湖路金湖一街二号,,棕榈泉物业管理（深圳）有限公司,,70年,85,,别墅,售罄
53350,福滨新村,深圳,福田,华强南福华路,,深圳市大众物业管理有限公司,,70年,车位充足,,普通住宅,售罄
53351,华秀花园,深圳,罗湖,罗湖区东湖路136号,,华秀花园物业管理公司,,70年,露天车位45个,,普通住宅,售罄
53352,锦龙新村,深圳,龙岗,福田区爱华路,,深圳市新洲城物业管理有限公司,,,0,,普通住宅,售罄
53353,集华花园,深圳,福田,福田区金田南海滨广场,,深圳开元国际物业管理有限公司,,70年,地下停车场，室内250元/月 室外110元/月,,普通住宅,售罄
53354,金田新村,深圳,福田,福田区福华三路,,深圳市新洲城物业管理有限公司,,70年,0,,普通住宅,售罄
53355,绿洲花园,深圳,福田,福田区新洲四街与新洲七街交汇处,,汉国置业物业管理有限公司,,70年,650停车位,,,
53356,华府花园,深圳,南山,南山区学府路198号,,深圳市集华物业管理有限公司,,70年,40,,普通住宅,售罄
53357,深宝花园,深圳,宝安,宝安区45区,,深圳市新洲城物业管理有限公司,,70年,室内220位 室外20位；车位费：室内200元/月 室外150元/月,,普通住宅,售罄
53358,广场北街,深圳,罗湖,罗湖区宝安南路广场北街东电大市公安局旁书城对面,,深圳市红桂物业管理有限公司,,70年,只有露天停车场,,普通住宅,售罄
53359,田苑小区,深圳,罗湖,罗湖区田贝四路,,深圳市红桂物业管理有限公司,,70年,60,,普通住宅,售罄
53360,桂木园小区,深圳,罗湖,罗湖区桂园路,,深圳市红桂物业管理有限公司,,70年,0,,普通住宅,售罄
53361,金稻田小区,深圳,罗湖,罗湖区环山路,,深圳市金稻田物业管理有限公司,,70年,0,,普通住宅,售罄
53362,倚园大厦,深圳,南山,南山蛇口工业七路,,深圳招商物业管理有限公司,,,路面车位，120元/月,,普通住宅,售罄
53363,锦绣花园三期,深圳,龙华,南山区华侨城,,深圳华侨城物业管理有限公司,,70年,250元/月，含管理费,,普通住宅,售罄
53364,海昌大厦,深圳,南山,南山蛇口工业七路海昌街,,深圳招商物业管理有限公司,,70年,室内50位 室外200位；车位费：室内￥250.00/月 室外￥120.00/月,,普通住宅,售罄
53365,临园大厦,深圳,南山,蛇口工业七路,,深圳市招商其乐物业管理有限公司,,70年,地上车位，110元/月,,普通住宅,售罄
53366,西组团,深圳,南山,南山区华侨城,,深圳市华侨城物业管理有限公司,,70年,162,,普通住宅,售罄
53367,康佳苑,深圳,南山,南山区华侨城恩平街,,深圳华侨城物业管理有限公司,,,车位充足，250元/月,,普通住宅,售罄
53368,龙泉花园,深圳,罗湖,宝安龙华镇人民北路龙泉花园,,深圳市龙泉实业（集团）股份有限公司,,70年,室内300位 室外320位；车位费：室内￥200.00/月 室外￥100.00/月,,普通住宅,售罄
53369,龙胜新村,深圳,龙华,宝安区龙华街道龙胜路,,深圳市富尔康物业管理有限公司,,70年,0,,普通住宅,售罄
53370,聚宝花园,深圳,罗湖,罗湖区罗沙路3028号,,深圳市鸿威物业管理有限公司,,70年,312,,普通住宅,售罄
53371,鸿锦阁,深圳,罗湖,罗湖区沿河南路3018号,,深圳市鸿威物业管理有限公司,,70年,50,,普通住宅,售罄
53372,鸣泉居,深圳,福田,深圳市福田区香蜜湖侨香路与农林路交汇处,,深圳市福田物业发展有限公司,,70年,124,,普通住宅,售罄
53373,新利苑,深圳,龙岗,龙岗区布龙公路30号,,深圳市泰新利物业管理有限公司,,70年,没有固定车位,,,
53374,景莲花园,深圳,福田,福田景田东路32号,,深圳市福田物业发展有限公司,,,0,,普通住宅,售罄
53375,信和花园,深圳,龙岗,龙岗区布吉镇大芬村,,深圳信和物业管理有限公司,,70年,室内10位 室外60位；车位费：室内￥200.00/月 室外￥80.00/月,,普通住宅,售罄
53376,上水花园,深圳,龙岗,龙岗区布吉镇上水径,,深圳信和物业管理有限公司,,70年,露天停车,,普通住宅,售罄
53377,润鹏花园,深圳,福田,福田深圳市福田区莲花支路,,深圳市安诚置业发展有限公司,,70年,地面停车场,,普通住宅,售罄
53378,全海花园,深圳,福田,福田福田区新洲南路,,深圳市鸿基物业管理有限公司,,70年,室内200位，室外105位，室内250.00/月，室外110.00/月,,普通住宅,售罄
53379,富荔花园,深圳,福田,福田区振华西路,,深圳市福田物业发展有限公司,,,0,,普通住宅,售罄
53380,百花苑（南山）,深圳,南山,宝安区新安宝安30区建安小学旁,,深圳市新银物业管理有限公司,,70年,室内210位 室外20位；车位费：室内￥200.00/月 室外￥200.00/月,,普通住宅,售罄
53381,碧涛阁,深圳,宝安,宝城四十八区,,深圳市新银物业管理有限公司,,70年,室内130位 室外200位；车位费：室内￥200.00/月 室外￥200.00/月,,普通住宅,售罄
53382,新景苑,深圳,福田,福田新洲路与红荔西路交接处,,深圳市福田物业发展有限公司,,70年,车位充足,,普通住宅,售罄
53383,金鼎花园,深圳,宝安,宝城四十一区翻身路,,深圳市新银物业管理有限公司,,70年,室内150位 室外10位；车位费：室内￥200.00/月 室外￥100.00/月,,普通住宅,售罄
53384,蓝色海月居,深圳,盐田,盐田区梧桐路,,万夏,,70年,室内200位 室外100位；车位费：室内￥250.00/月 室外￥160.00/月,,普通住宅,售罄
53385,新秀苑,深圳,龙岗,宝城五十区,,深圳市新银物业管理有限公司,,70年,地面停车场,,普通住宅,售罄
53386,兰花苑,深圳,宝安,宝城三十四区,,深圳市新银物业管理有限公司,,70年,80个地面停车位,,普通住宅,售罄
53387,文汇花园,深圳,宝安,宝城二十九区宝民路,,深圳市新银物业管理有限公司,,70年,室外175个,,普通住宅,售罄
53388,上武综合楼,深圳,宝安,福田区东园路巴登街,,,,70年,0,,普通住宅,售罄
53389,丰华苑,深圳,宝安,宝安23区洪浪北路中段,,深圳市新银物业管理有限公司,,70年,地下车位200元/月,,普通住宅,售罄
53390,银庄大厦,深圳,福田,福田区金田南路,,深圳市福田物业发展有限公司,,70年,室内260位 室外10位；车位费：室内250元/月 室外200元/月,,普通住宅,售罄
53391,润福园,深圳,福田,福田区新洲九街,,深圳市敏行物业管理有限公司,,70年,充足的车位，有地下停车场,,普通住宅,售罄
