HOUSE_SRN,HOUSE_NAME,CITY,AREA,LOCATION,DEVELOPER,PPTY_MGMT_COMP,NEW_OPEN_DATE,OWNERSHIP_PERIOD,PARK,DECORATE,PPTY_MGMT_TYPE,HOUSE_STATUS
1,建业苑,北京,朝阳,东三环潘家园立交东100米,,北京竭城物业管理公司,,70年,充足,,写字楼,二手房
2,濠景阁,北京,朝阳,东二环路和潘家园路交汇处的西南角,,北京万年永隆房地产开发公司下属物业公司,,,,,公寓,
3,华清嘉园,北京,海淀,中关村五道口,,北京华远物业管理公司,,70年,充足,,普通住宅,二手房
4,城市芳庭,北京,丰台,方庄往东1站地,,亚正物业管理公司,,70年,停车位充足，出租150元/月,,普通住宅,二手房
5,京香福苑,北京,东城,北二环安定门内,,北京佳美物业管理有限公司,,,停车位182个，出租600元/月，出售10万元/位,,公寓,二手房
6,华辉苑,北京,朝阳,东三环南八里庄15号,,北京金华辉物业管理有限公司,,,400个,,普通住宅,二手房
8,华源新第,北京,丰台,西客站南广场西南800米,,华能房地产公司,,70年,停车位： 376个,,普通住宅,二手房
9,鹏润家园,北京,丰台,菜户营东街甲88号,,万盛源物业管理公司,,70年,660个车位,,普通住宅,二手房
10,蓟宁居,北京,海淀,花园路3号,,北京蓟宁物业管理公司,,70年,150元/车位/月,,普通住宅,二手房
11,芳林苑,北京,朝阳,左安门立交桥东南300米,,北京新鸿业物业管理公司,,70年,200个车位,,,
12,宝华家园,北京,东城,沙子口,,正泰恒安物业管理有限责任公司,,70年,停车位充足,,,
13,双柳新居,北京,朝阳,双桥路口东南侧,,北京康居物业管理公司,,,停车位充足，租150元/月，租1200元/年,,普通住宅,二手房
14,华普花园(华普中心),北京,东城,东二环内东四十条立交桥西北角,,华普物业,,,1:01,,公寓,二手房
15,广华轩,北京,西城,广安门桥西200米,,瑞斯特物业管理公司,,,130元,,普通住宅,二手房
16,建予园,北京,朝阳,永外管村路12号,,,,70年,地上三层旋转式停车,,普通住宅,二手房
17,鑫雅苑,北京,海淀,皂君庙学院南路14号,,新源物业管理公司,,70年,停车位260个,,普通住宅,二手房
18,天天家园,北京,东城,永外沙子口安乐林路,,北京恒祥物业公司,,70年,地上车位150元/月、地下车位380一月,,普通住宅,二手房
19,新世界太华公寓,北京,东城,崇文门外大街5号,,北京祥和物业,,50年,地下车位700元/月,,公寓,二手房
20,美丽园,北京,海淀,西三环航天桥西北,,河北恒辉物业管理有限公司,,70年,车位充足，地上停车1300-1600元/年，地下车库480元/月，海博停车场150/月,,普通住宅,二手房
21,国展家园,北京,朝阳,西坝河西里26号,,北京银达物业管理有限公司,,,每户一位,,公寓,二手房
22,恒松园,北京,丰台,南三环中路小铁营路10号,,北京恒业房地产综合开发公司,,70年,地面车位150元/月,,普通住宅,二手房
24,九龙花园,北京,朝阳,广渠路29号,,北京德诚物业管理有限公司,,70年,停车位充足,,,
25,团结公寓,北京,朝阳,东三环团结湖东里,,北京银达物业管理有限公司,,70年,1:01,,公寓,
26,锦绣嘉园,北京,朝阳,东三环光华路南侧,,北京首佳物业管理有限公司,,,停车位400个，出租150元/月,,公寓,二手房
27,美林花园,北京,海淀,北洼路西三环紫竹桥畔,,燕桥物业管理公司,,70年,地上车位410元/月、地下车位25至30万/个,,普通住宅,
28,华馨公寓,北京,朝阳,亚运村慧忠北里小区内,,北京华民物业管理公司,,70年,每户一位,,公寓,二手房
29,莲香园,北京,丰台,西三环莲花桥西南,,北京瑞斯特物业管理公司,,70年,150元/车位/月 地下450元/月,,普通住宅,二手房
30,惠新苑,北京,朝阳,安苑路奥体东门向东300-400米,,北京恒安物业管理公司,,70年,每户一位，出租300-350元/月,,普通住宅,二手房
31,阳春光华家园,北京,海淀,小南庄万泉河西路,,阳光房地产盛世物业公司,,70年,600-800/车位/月，共有1200个车位,,普通住宅,二手房
32,同仁园,北京,丰台,刘家窑桥西南100米,,北京市京工物业管理有限责任公司,,70年,180,,普通住宅,二手房
33,荣宁园,北京,西城,南菜园47号,,北京盈和物业管理公司,,,停车位532个，出售12万/位,,公寓,二手房
34,盛世嘉园,北京,朝阳,建国路郎家园8号,,北京阳光苑物业管理公司,,70年,地上每位每月150元，地下每位每月800元,,公寓,
35,御景园,北京,朝阳,东三环华威桥,,京城物业,,70年,150元/月、地下450/月另加80元/月的管理费,,公寓,二手房
36,方安苑,北京,丰台,南三环方庄桥西南100米,,北京中原物业管理顾问公司,,70年,停车位620个,,普通住宅,二手房
37,中国第一商城,北京,朝阳,朝阳门外小庄6号（朝阳文化馆对面）,,北京仲量联行物业管理服务有限公司,,70年,共438个/地上27个/地下411个,,公寓,二手房
38,甜水园,北京,朝阳,团结湖地区,,北京恒安物业管理公司,,70年,充足、350元/月,,普通住宅,二手房
39,冠城园,北京,海淀,马甸桥西北角,,北京冠海物业管理公司,,70年,停车位800个，出租400-600元/月,,普通住宅,
40,万科星园,北京,朝阳,紫玉山庄北五环北苑桥西北角,,北京万科物业管理有限公司,,70年,01:00.7,,普通住宅,二手房
43,万泉新新家园,北京,海淀,海淀区巴沟南路35号,,中海物业管理有限公司,,70年,二户三个停车位,,普通住宅,二手房
45,英嘉公寓,北京,西城,未英胡同49号,,北京银泰物业公司,,,地面车位充足,,公寓,二手房
47,观澜国际花园,北京,海淀,紫竹院路,,燕桥物业管理公司,,70年,停车位890个车位可到物业公司租，地下车位500-800元/月,,普通住宅,二手房
49,官书院小区,北京,东城,安定门内大街永康胡同2号,,兰基物业公司,,70年,2:1，出租500元/月,,公寓,二手房
50,建国国际公寓,北京,东城,贡院西街9号(建国门内长安大戏院北侧),,北京伟豪物业管理有限公司,,,,,公寓,
51,尚座,北京,西城,宣武门西大街甲95号,,,,,,,公寓,二手房
52,天缘公寓,北京,西城,西二环白纸坊桥东南角,,天创兴旺物业管理中心,,70年,停车位232个，地面150元车位/月，地下480元/月,,公寓,二手房
53,西华经典,北京,西城,广安门内大街报国寺对面,,香港梁振英测量行,,,地面车位150元/月,,普通住宅,二手房
54,新纪元公寓,北京,西城,广安门外大街甲180号,,北京新纪元物业管理公司,,,出租150-300元/月,,普通住宅,二手房
56,宝轩大厦,北京,东城,东花市北里中区15号楼,,宝信物业管理公司,,50年,充足,,建筑综合体,二手房
57,望陶园,北京,东城,永外东革新里,,北京一商集团有限责任公司,,70年,停车位充足，出租150元/月,,普通住宅,二手房
59,安达花园,北京,海淀,东北旺乡西二旗,,东居物业公司,,70年,地上150元/月,,普通住宅,二手房
60,华盛家园,北京,海淀,北三环马甸桥北侧牡丹园小区内,,北京华盛家园物业管理有限公司,,70年,停车位400个，,,,
61,劲松嘉园,北京,朝阳,光明桥东100米路北劲松西口,,北京城市开发集团颐安房地产股份,,,,,普通住宅,二手房
62,金晖嘉园,北京,海淀,西直门北大街58号,,麦斯顿物业管理公司,,70年,每户一位，成交区间在40-60万之间，车位租赁800-1000元/月,,普通住宅,二手房
63,人济山庄,北京,海淀,海淀区白石桥路45号，紫竹院公园西南门,,北京普瑞物业管理有限公司,,70年,停车位800多个，出售16.5万-22万/位,,普通住宅,二手房
64,万博苑,北京,西城,右安门内大街南二环东北角,,北京华特物业管理发展有限公司,,70年,停车位300个,,公寓,二手房
65,宝盛里小区,北京,海淀,清河南镇,,北京天鸿宝业房地产股份有限公司,,70年,停车位充足，出租150元/月,,普通住宅,二手房
67,今日家园,北京,海淀,解放军总医院南100米,,北京今日家园物业管理公司,,70年,地下三层车库，地下租价390元/月，目前车位紧张，排队租车位的还很多，目前只有一个业主车位在售,,普通住宅,二手房
68,颐源居,北京,海淀,西三环中路　玉渊潭对面,,颐源居物业管理公司,,70年,充足,,普通住宅,二手房
70,正阳小区,北京,丰台,丰台镇,,北京恒丰物业管理公司,,70年,充足,,经济适用房,二手房
71,方宝苑,北京,丰台,东南三环成寿寺中路,,北京市京工物业管理有限责任公司,,70年,地面车位150元/车位/月,,普通住宅,二手房
72,方南家园,北京,丰台,刘家窑环岛方庄社区南500米,,北京万商物业管理公司,,70年,充足,,普通住宅,二手房
73,梅园小区,北京,大兴,北京经济技术开发区,,建工集团总公司房地产开发部,,70年,停车位充足,,普通住宅,二手房
74,晓月苑（晓月新苑）,北京,丰台,宛平城永定河畔,,,,,,,,
75,博海家园,北京,朝阳,劲松东口农光里,,兴中建业物业管理公司,,,,,普通住宅,二手房
76,望园东里小区,北京,丰台,丰北桥东150米万丰路西侧（西三环丽泽桥往西1500米323总站）,,丰台区城市建设物业管理公司,,70年,150元/月，一期全部为地上车位，二期开通地下车位,,普通住宅,二手房
77,大雄城市花园一幅画卷,北京,大兴,北京经济技术开发区天华园,,北京中协物业管理公司,,70年,小区停车位充足,,普通住宅,
78,庄维多摩市（庄维花园）,北京,丰台,丰台七里庄路,,北京当代物业管理有限责任公司,,70年,15万/位,,普通住宅,二手房
79,北辰绿色阳光(傲城),北京,朝阳,安外亚北3.5公里北苑(北苑红军营南路),,北京北辰信和物业管理有限责任公司,,,1:01,,普通住宅,二手房
80,晨曦花园,北京,朝阳,东四环兹云寺桥东北角,,北京中原物业顾问有限公司,,50年,车位暂时53个，出租150元/月,,普通住宅,二手房
81,大西洋新城,北京,朝阳,望京南湖南路10号（南湖综合市场对面）,,北京仁必德物业管理有限公司,,70年,车位有出租的，地上150元/位·月，地下500元/位·月。出售的话，20万/个,,普通住宅,二手房
82,福景苑官邸,北京,朝阳,朝阳亮马桥路46号（燕莎桥东200米）,北京新联协创房地产开发有限公司,雅诗阁物业管理公司,2013年3月12日,70年,240个（1:1）,简装修,普通住宅,
83,花家地西里小区,北京,朝阳,北四环花家地西里,,北京南湖物业管理公司,,70年,停车位充足，出租150元/月,,普通住宅,二手房
84,华盛乐章,北京,朝阳,北四环健翔桥东北角,,北京华盛乐章物业管理有限公司,,,停车位充足，出租地上150元/月，地下300元/月,,普通住宅,二手房
86,华展国际公寓,北京,朝阳,北三环中路马甸桥东北角,,北京创新高科技物业管理公司,,70年,地上150元一位、地下350元一位,,公寓,二手房
87,汇欣公寓,北京,朝阳,亚运村汇园公寓北门,,北京信和物业管理,,70年,300个车位，150元/车位/月,,公寓,二手房
88,惠中园,北京,朝阳,北四环东路,,北京高腾物业管理有限公司,,70年,车位总数150个 地上车位150个,,普通住宅,二手房
89,吉利家园,北京,朝阳,芍药居路16号,,北京育新物业管理公司,,70年,停车位400个，出租地上150元/月、地下300元/月,,普通住宅,二手房
90,嘉和丽园,北京,朝阳,霄云路32号,,北京建国物业管理有限公司,,70年,600,,公寓,二手房
91,利景名门,北京,朝阳,望京环南路,,福源丽景房地产物业公司,,,,,普通住宅,二手房
92,欧陆经典,北京,朝阳,北苑路166号（亚运村北辰购物中心往东500米）,,开元国际物业管理有限公司,,70年,地上150元/月、地下450元/月,,普通住宅,
93,清镜明湖公寓,北京,朝阳,朝阳公园西路5号,,建国物业管理公司,,,1:01,,公寓,二手房
94,圣馨大地家园,北京,朝阳,望京新城西部中段K7区,,北京航天建筑工程公司,,70年,地下：469个车位 450元/月/个,,普通住宅,二手房
95,望京新城,北京,朝阳,四元桥东北2公里花家地,,北京望京实业总公司,,70年,地表车位400个，150元/月；地下车位350个，260元/月二层楼停车库,,普通住宅,二手房
96,望京新居,北京,朝阳,望京西园一区,,北京金朝物业管理公司,,,地下车库提供充足车位,,普通住宅,二手房
98,现代城,北京,朝阳,建国路179号,,北京中海物业管理有限公司,,70年,车位1226个、750/月,,公寓,二手房
99,阳光100国际公寓,北京,朝阳,光华路2号,,北京万怡光华物业管理有限公司,,70年,750元/月，680（年付）开发商持有。业主可以购买，每个车位25万左右。,,普通住宅,
100,兴隆家园,北京,朝阳,地铁四惠东站东侧,,北京天翌物业管理公司,,70年,2:01,,普通住宅,二手房
101,亚奥人家,北京,朝阳,德外苇子坑安翔里1号,,北京金第房地产物业公司,,,每户一位，出租150元/月,,普通住宅,二手房
102,碧水庄园,北京,昌平,史各庄乡定福皇庄,,碧水庄园物业管理公司,,70年,车位充足,,别墅,二手房
103,回龙观文化居住区,北京,昌平,回龙观饭店向东700米,,,,70年,车位充足,,经济适用房,二手房
104,龙腾苑二区,北京,昌平,回龙观十里长街北侧,,北京天鸿宝地物业公司,,70年,地上价格:150元/月，年付1600/年,,普通住宅,二手房
105,龙泽苑东区,北京,昌平,回龙观镇,,西城区鼎泽物业有限公司,,70年,停车位0.8：1，150元/车位/月 有独立的地下停车位,,普通住宅,二手房
106,双裕花园,北京,顺义,京顺路旁,,君豪物业,,70年,停车免费,,普通住宅,二手房
107,郁花园二里,北京,大兴,玉泉营立交桥南8公里,,安厦物业管理公司,,70年,充足，免费,,普通住宅,二手房
108,兴涛社区,北京,大兴,兴华大街北路10段,,光大国际饭店物业管理公司,,70年,小区地面停车150元/月.,,普通住宅,二手房
109,西上园（香林郡运河）,北京,通州,新华大街东端故城路,,兴华物业,,70年,01:00.5,,普通住宅,二手房
110,梨花园二期,北京,通州,梨园北街18号,,北京通力发物业管理公司,,70年,充足,,普通住宅,二手房
112,嘉禾园温泉小区,北京,朝阳,潘家园南里22号,,中明兴物业管理公司,,70年,250个停车位,,,
113,嘉润花园,北京,朝阳,望京南湖区东路,,北京金致达房地产开发有限公司物业部,,70年,停车位充足，地下500元,,普通住宅,二手房
114,京洲华园,北京,大兴,西直门立交桥西北侧,,北京能达信物业管理有限责任公司,,,430,,普通住宅,二手房
115,世纪宝鼎,北京,朝阳,亚运村东2公里,,开元国际物业管理有限公司,,,停车位1：1.5，出租400元/月，出售18万/位,,公寓,
116,风格雅园,北京,朝阳,望京新城南湖东园,,北京中建方圆房地产开发有限公司,,,,,普通住宅,二手房
117,方舟苑,北京,朝阳,四元桥西北畔300米,,北京方舟物业管理公司,,70年,每2户1个车位，出租150元/月，方舟苑一二期还有三期的8号楼是地上固定停车位，已月租形式缴纳，三期9、10号楼为城市月光是地下停车，可直接入户，月租为350元月。,,普通住宅,二手房
118,武夷花园（武夷城市左岸）,北京,通州,通湖大街1号（出口往东北苑环岛往东4公里）,,北京武夷武夷管理有限公司,,70年,月季园497个,,普通住宅,二手房
119,旭风苑公寓,北京,朝阳,芍药居小区曹慧路口南侧,,北京城乡物业管理公司,,,停车位65个，出租150元/月,,公寓,二手房
120,绿雅阁,北京,朝阳,芍药居小区内亚运村东,,北京芍药居物业管理公司,,70年,充足，600个,,普通住宅,二手房
121,天赐良园,北京,通州,永顺镇西富河园5号,,,,,,,,
122,当代MOMA历峰,北京,东城,东城东直门香河园路1号,,第一太平戴维斯,,,,,,
123,盛和家园,北京,朝阳,小营路安惠东里2号院,,北京盛和物业有限公司,,50年,停车位160个，月租360元/月,,,
124,名流花园,北京,昌平,亚运村正北12公里,,北京温尔馨物业管理有限责任公司,,70年,停车位充足，免停车费。,,普通住宅,
125,成品家（阳光华苑二期）,北京,朝阳,管庄杨闸环岛西北角,,华润置地（北京）物业管理有限责任公司,,,出租地上150元/月、地下350元/月,,,
126,九龙家园,北京,丰台,西红门镇玉泉营环岛南4.5公里,,北京九龙新区房地产物业公司,,70年,地上停车位150元/月,,普通住宅,
127,国兴家园,北京,海淀,车公庄西路,,北京三吉利物业管理公司,,70年,停车位1100个，地下2层租500元/月，出售：30万——45万,,普通住宅,
128,银枫家园,北京,朝阳,首都机场路大山子出口往北500米,,北京银达物业管理有限公司,,70年,1位/户、150元/车位/月,,普通住宅,
129,嘉悦精英家园,北京,朝阳,望京广顺南大街,,北京北辰信和物业管理有限责任公司,,70年,停车位充足,,,
130,百环花园,北京,朝阳,潘家园,,百环物业,,70年,车位充足，分地上地下，人车分流，出行方便,,普通住宅,二手房
131,北京绿色家园,北京,通州,徐辛庄镇草寺北绿色家园,,,,70年,每户一位,,别墅,二手房
132,百朗园,北京,海淀,复兴路甲36号,,北京宝联物业管理有限公司,,50年,充足、260元/车位/月,,公寓,二手房
133,依莲轩,北京,西城,广安门外马连道南街1号,,保华物业管理公司,,70年,地上车位1400个，地面车位150元/月；地下车位500个，租价地下车位300元/月,,公寓,二手房
134,怡海花园,北京,丰台,科学城东侧,,北京达丰物业管理有限公司,,70年,六期1:1.5,,普通住宅,二手房
135,九龙宏盛家园,北京,丰台,西红门镇（玉泉营南面4.5公里）,,北京福盛物业管理中心,,70年,地上车位150元/月,,普通住宅,二手房
136,朝阳园,北京,朝阳,甘露园南里25号,,第一太平戴维斯,,70年,公寓停车位850个，出租600元/月,,,
137,新康家园,北京,大兴,经济技术开发区天华园一里三区,,北京新世界物业管理有限公司,,70年,地下车库,,普通住宅,二手房
138,日月东华,北京,朝阳,石佛营东里126号,,东岳物业管理公司,,,120个车位,,,
139,枫丹丽舍,北京,海淀,西三旗高新建材城西北100米,,中海物业管理公司,,70年,700个,,普通住宅,二手房
140,新天第,北京,朝阳,西坝河南路甲1号,,国贸物业管理有限公司,,70年,286个停车位,,,
141,锦绣馨园,北京,朝阳,小营路北口,,北京首佳物业管理有限公司,,,停车位400个，出租150元/月,,普通住宅,二手房
142,世纪嘉园,北京,朝阳,小关北里45号,,北京天润金源置业有限公司,,70年,停车位500个,,公寓,
143,晨光家园,北京,朝阳,石佛营路15号,,北京天诺物业管理有限责任公司,,70年,每2户1个车位,,,
144,盛鑫嘉园,北京,丰台,丰益桥西800米,,北京中宇东方物业管理公司,,70年,停车位400多个,,公寓,二手房
145,亚运豪庭（银座九号）,北京,朝阳,小营路9号,,亚运豪庭物业公司,,70年,1:01,,公寓,二手房
147,通惠家园,北京,朝阳,东四环四惠桥往东1公里,,北京亿方物业管理有限公司,,70年,每户一位,,经济适用房,二手房
148,新华联家园,北京,通州,新华联京津路西南,,北京悦豪物业管理有限公司,,70年,150元/月,,普通住宅,二手房
149,利泽西园,北京,朝阳,望京利泽西园,,北京弘成物业管理公司,,70年,持卡进门，车位对本小区免费。,,普通住宅,二手房
150,天鸿东润枫景（燕沙后）,北京,朝阳,东枫桥以东100米,,北京燕侨物业管理有限责任公司,,,1：1.2，出租300元/月，出售12.6万/位,,,
151,碧水园,北京,朝阳,水碓子北里,,北京恒安物业管理公司,,70年,充足，350元/月,,普通住宅,二手房
152,康泽园,北京,丰台,南三环木樨园桥南1公里,,万胜全物业管理中心,,70年,地面车位150元/月,,普通住宅,二手房
153,新荣家园,北京,朝阳,慧忠北里南侧大屯,,北京-新荣物业管理有限公司,,70年,停车位300个，出售12万元，出粗600元/月,,普通住宅,
154,地铁古城家园,北京,石景山,古城公园往北,,地铁房地产开发经营公司,,70年,停车位充足，150元/车位·月,,普通住宅,二手房
155,胡桃园,北京,丰台,丰台路口50号,,北京新润房地产开发有限公司,,70年,地面车位150元/月,,普通住宅,二手房
156,红莲晴园,北京,西城,广安门外达官营南红莲小区,,北京都市阳光物业管理有限责任公司,,,停车位300个,,公寓,二手房
157,潞河名苑,北京,通州,四员厅路银地大厦旁边,,北京明朗物业管理公司,,70年,每户一位,,普通住宅,二手房
158,青年路小区,北京,朝阳,京广中心东5公里十里堡,,天成园物业公司,,70年,停车位充足,,,
159,安圣苑,北京,朝阳,北三环安贞桥东北侧,,香港梁振英测量行,,,288个停车位,,建筑综合体,二手房
160,望都家园,北京,昌平,北七家镇,,华泰物业管理有限责任公司,,70年,280个,,普通住宅,二手房
161,蓬莱苑,北京,昌平,亚运村正北12公里（北七家镇）,,北京蓬莱物业开发中心,,70年,1:01,,别墅,二手房
162,金福家园,北京,朝阳,定福庄,,铭维城物业管理公司,,,150个停车位,,普通住宅,二手房
163,浩鸿园,北京,朝阳,西坝河南路3号,,北京德康物业管理有限责任公司,,70年,150元/车位/月,,普通住宅,
164,韦伯豪,北京,海淀,魏公村路与白颐路交叉口西南角,,北京国豪物业管理公司,,50年,停车位600个，出租400-700元/月,,公寓,二手房
165,育龙家园,北京,大兴,方庄南6公里,,北京育龙物业管理有限责任公司,,70年,车位可租可售，1:1停车 150元/月,,公寓,二手房
166,富瑞苑公寓,北京,东城,夕照寺大街14号,,北京兴红顺房地产开发有限公司,,50年,充足,,公寓,二手房
167,今典花园,北京,海淀,红联北村西直门桥300米,,今日今典物业有限公司,,70年,每户一位,,普通住宅,
168,马甸经典家园,北京,朝阳,马甸桥北1000米处,,北京市均豪物业管理有限公司,,70年,停车位150个，出租300元/月,,普通住宅,二手房
169,至善家园,北京,通州,城关镇褒王庄,,至善家园物业管理公司,,70年,停车位充足,,公寓,二手房
170,东丽温泉家园,北京,丰台,马家堡东路88号,,北京国泰安物业管理公司,,70年,停车位2：1，150元/车位/月，1600元/车位/年,,普通住宅,二手房
171,望京明苑,北京,朝阳,望京新兴产业区36号地,,兴中建物业公司,,70年,地上150元/辆·月 。 地下380元/辆·月,,公寓,二手房
172,富润家园,北京,海淀,中关村清华东路与学院路交叉口,,中房集团深圳昊岳物业管理公司,,70年,停车位800个，出租地上150元/月、地下300元/月,,普通住宅,二手房
174,嘉铭桐城,北京,朝阳,北苑路86号,,嘉泰物业管理有限公司,,70年,AB区停车位900余个，月租费500元/月（含管理费）,,普通住宅,二手房
175,怡美家园,北京,海淀,京昌高速路小营环岛向西1公里,,北京望京实业总公司,,70年,每户一位，出租150元/月，出售8万元/位,,普通住宅,二手房
176,九台2000（本色空间）,北京,朝阳,亚运村阳光广场北侧500米,,北京九台物业管理公司,,70年,每户一位,,普通住宅,二手房
177,宏嘉丽园,北京,海淀,知春路东口蓟门饭店南50米路西,,北京普泽物业管理中心,,50年,停车位300多个，出租150元/月,,公寓,二手房
178,世贸国际公寓,北京,朝阳,光华路9号,,北京世贸天阶物业服务有限公司,,70年,停车位1000个，没有产权车位，物业租用每个月的费用是900左右,,普通住宅,
179,雍和家园,北京,东城,雍和宫北侧,,北京银达物业管理有限公司,,70年,每户一位，出租500元/月;二期360个地下车位,,建筑综合体,二手房
180,芳古园,北京,海淀,方庄小区,,北京方庄物业管理有限责任公司,,70年,,,普通住宅,二手房
181,芳群公寓,北京,丰台,南三环刘家窑桥东北侧,,北京祺祥物业有限公司,,70年,充足,,公寓,
182,风林绿洲,北京,朝阳,劳动大厦路南900米,,达文世纪物业公司,,70年,停车位1：1,,普通住宅,二手房
183,恋日嘉园一期,北京,丰台,玉泉营立交东南角,,华野家园物业管理有限公司,,70年,停车位367个，出租地上150元/位 地下380元/位,,普通住宅,二手房
184,学知轩,北京,海淀,学清路16号,,北京祺洋物业管理公司,,70年,停车位141个，出售8.8万/位,,普通住宅,二手房
185,宏源公寓,北京,朝阳,酒仙桥路4号,,宏源物业管理有限公司,,70年,停车位1：1.5,,公寓,二手房
186,富丽华园,北京,朝阳,枣营北里,,北京富利华物业管理公司,,,每户一位,,公寓,二手房
187,富卓苑,北京,丰台,马家堡角门南路甲14号院,,北京富卓物业管理有限公司,,70年,充足，地上150元/车位/月，地下300元/车位/月的,,普通住宅,二手房
188,博客园,北京,通州,乔庄东区62号,,北京顺开物业管理有限公司,,70年,共计488个.仅出租,,,
189,博望园,北京,海淀,军事博物馆对面（羊坊店东路5号）,,北京博望物业有限公司,,50年,停车位200多个,,公寓,二手房
190,东华经典(东华金座),北京,西城,广安门内200号,,北京香建物业管理公司,,,停车位321个,,普通住宅,二手房
191,慧谷金色家园,北京,朝阳,四元桥以北望京西园,,,,,200多个地下停车位现在还有20多个没有租出去,,普通住宅,二手房
192,旺角铭座（翌景嘉园）,北京,朝阳,东三环?华威桥?古玩城向北50米,,北京金地万厦物业管理有限公司,,70年,323个,,公寓,二手房
194,天创世缘,北京,朝阳,大屯路甲21号,,深圳长城物业管理公司,,70年,地上150元地下350元,,普通住宅,二手房
195,慧时欣园二期（都市绿洲）,北京,丰台,南三环赵公口桥南800m,,北京绿环物业管理公司,,70年,停车位1：1，地上车位350个、150元/月,,普通住宅,二手房
196,丰益城市花园,北京,丰台,西三环丰益桥西与丽泽桥之间,,丰台城建开发物业管理公司,,70年,充足,,经济适用房,二手房
197,凯景铭座,北京,东城,外馆斜街柳荫公园北门,,北京均豪物业管理有限责任公司,,70年,近300个,,,
198,新起点嘉园,北京,海淀,西三环苏州桥西北角,,第一太平洋戴维斯,,50年,固定车位480元每月，不固定车位出租260元每月，出售10万,,普通住宅,二手房
199,建国公寓,北京,朝阳,建国里2巷94号,,国贸物业管理有限公司,,70年,停车位196个,,公寓,二手房
200,玉海园,北京,海淀,玉泉路地铁口向北800米,,北京市海淀区安居物业管理中心,,70年,1:01,,普通住宅,二手房
201,远洋风景,北京,海淀,德胜门西大街15号（西直门立交桥东北角）,,北京远洋基业物业管理有限公司,,70年,停车位紧张，出售40万-45万元/位，租1000元/月,,普通住宅,二手房
202,御鹿家园,北京,大兴,经济技术开发区（马桥辛屯小区（新桥桥南100多米路东红楼）,,北京伯雅房地产开发有限公司,,70年,充足,,普通住宅,二手房
203,千鹤家园,北京,朝阳,朝阳区北四环东路108号,,北京天诺物业管理有限责任公司,,70年,地表车位300个，150元/月、地下车位450个，300元-800元/月,,普通住宅,
204,花市枣苑（质城）,北京,东城,东花市大街118号,,花市枣苑物业,,70年,1:01,,,
207,美然绿色家园,北京,大兴,旧忠路14号,,北京美晟物业管理有限公司,,70年,车位108个，地上车位71个，150元/月，地下车位37个，200元/月,,普通住宅,二手房
208,西环景苑,北京,西城,马连道南街乙1号,,中铁平安物业管理公司,,,停车位2：1，出租300元/月,,普通住宅,二手房
209,金华园小区,北京,大兴,金星乡,,金华园物业部,,70年,充足，地上：120元/车位/月,,别墅,二手房
210,星岛嘉园三期,北京,大兴,经济技术开发区西环北路,,北京中海物业管理公司,,70年,地上120元/位·月，地下150元/位·月,,普通住宅,二手房
211,似海怡家,北京,西城,牛街路口,,香港戴德梁行物业管理公司,,,停车位300个,,公寓,二手房
212,博世庄园,北京,密云,白龙潭边,,北京正圆嘉和物业管理有限责任公司,,70年,一户一位，免费提供,,别墅,二手房
213,沁春家园,北京,海淀,西三旗转盘东路3号,,北京育新物业管理有限公司,,70年,地上150元/位·月、地下300-350元/位·月,,普通住宅,二手房
214,鲁谷住宅小区,北京,石景山,华联超市南侧300米,,北京城建弘通物业管理有限责任公司,,,充足、150元/车位·月,,普通住宅,二手房
215,三秀涵雅居,北京,东城,安德里北街,,普泽物业管理公司,,,150元/车位/月,,公寓,二手房
216,北苑家园,北京,通州,立水桥北苑居住区,,城建城承物业管理公司,,70年,地上150元/月，地下350元/月 出售20万左右产权车位,,普通住宅,二手房
217,四季莱茵（富莱茵花园小区三期）,北京,东城,沙子口路76号,,富莱茵物业公司,,70年,停车位350个，出租150-300元/月,,普通住宅,二手房
218,凌云居,北京,西城,二环主路以内,,,,,,,,
219,银地家园,北京,丰台,南四环新发地桥向西500米,,北京银地物业管理有限公司,,70年,1:01,,普通住宅,二手房
221,亮马名居,北京,朝阳,亮马桥路燕莎商城东800米处,,中海物业管理有限公司,,,每户一位,,公寓,
223,紫苑阁,北京,海淀,西三环花园桥东南角,,北京海鸿物业经营管理有限公司,,70年,,,公寓,二手房
224,紫东苑(CBD卫城),北京,朝阳,武圣西里28号院紫东苑,,北京恒联兴物业公司,,,停车位1.5:1,,,
226,远洋天地,北京,朝阳,慈云寺桥东南角,,远洋基业物业管理有限公司,,70年,出租 400/月,,普通住宅,
227,凤凰城,北京,朝阳,三元桥东北角,,一期中海物业公司,,70年,480个,,公寓,二手房
228,风和日丽,北京,丰台,科学城帝京路3号,,香港恒润物业,,70年,每户一位,,公寓,
229,竹溪园,北京,海淀,双泉堡路125号（清河收费站西面）,,深圳万厦物业管理公司,,70年,01:01.2,,别墅,二手房
230,信德新时代,北京,西城,西二环鸭子桥北里,,北京昊天利物业管理公司,,,停车位300个，出租200-300元/月，出售10-15万元/位,,公寓,二手房
231,建东苑小区,北京,朝阳,管庄西里周家井,,建机住宅小区物业管理部,,70年,493个停车位,,,
232,博雅园,北京,朝阳,农展馆南路向南朝阳公园以西200米,,北京世纪京华房地产开发有限公司物业管理分公司,,70年,450个停车，700元/月地下一层，500元/月地下二层,,公寓,二手房
